ASCII SAMPLE CYCLES :			synecho6803_brd_temp36-31-36_whitel300.mdc
DATE :	26.11.2025	TIME :	11:33:31 odp.
CONVERTED CYCLES :			5261
Number of stored cycles			5261
Printed start cycle			1
Printed end cycle			5261
Number of stored datablocks			2
Datablock 0	Ion Current	[A]	
'0/0'	17.94	min:	9.22911E-010	max:	1.67387E-009	
'0/1'	27.75	min:	4.27391E-008	max:	4.4986E-008	
'0/2'	31.72	min:	1.83275E-008	max:	1.94882E-008	
'0/3'	35.87	min:	8.61726E-008	max:	8.69342E-008	
'0/4'	40.03	min:	3.46578E-008	max:	3.51229E-008	
'0/5'	43.72	min:	1.64506E-009	max:	1.67387E-009	
Datablock 1	PKR	[mbar]	
'1/0'	PKR	min:	1.744E-007	max:	2.362E-007	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	'0/3'	'0/4'	'0/5'	'1/0'	
121	26.11.2025	11:36:47:82 odp.	196.821	1.71696E-007	5.02698E-008	2.23268E-008	7.39973E-008	3.07417E-008	1.78337E-009	2.241E-007	
122	26.11.2025	11:36:49:46 odp.	198.461	1.71574E-007	5.02783E-008	2.23285E-008	7.38285E-008	3.06709E-008	1.7874E-009	2.238E-007	
123	26.11.2025	11:36:51:10 odp.	200.101	1.71443E-007	5.03914E-008	2.23272E-008	7.36889E-008	3.06746E-008	1.79692E-009	2.238E-007	
124	26.11.2025	11:36:52:74 odp.	201.743	1.71412E-007	5.03418E-008	2.23645E-008	7.36455E-008	3.06209E-008	1.78825E-009	2.23E-007	
125	26.11.2025	11:36:54:38 odp.	203.385	1.71406E-007	5.04553E-008	2.2388E-008	7.35814E-008	3.06111E-008	1.78581E-009	2.241E-007	
126	26.11.2025	11:36:56:02 odp.	205.024	1.71208E-007	5.04106E-008	2.24148E-008	7.35087E-008	3.05867E-008	1.80424E-009	2.238E-007	
127	26.11.2025	11:36:57:66 odp.	206.665	1.71233E-007	5.04749E-008	2.24158E-008	7.33719E-008	3.0544E-008	1.78789E-009	2.227E-007	
128	26.11.2025	11:36:59:30 odp.	208.307	1.71281E-007	5.04492E-008	2.24241E-008	7.32035E-008	3.04622E-008	1.7924E-009	2.235E-007	
129	26.11.2025	11:37:00:95 odp.	209.95	1.71171E-007	5.04822E-008	2.24094E-008	7.30664E-008	3.0428E-008	1.79289E-009	2.216E-007	
130	26.11.2025	11:37:02:58 odp.	211.589	1.71159E-007	5.04915E-008	2.2431E-008	7.29838E-008	3.03877E-008	1.79631E-009	2.214E-007	
131	26.11.2025	11:37:04:22 odp.	213.229	1.7122E-007	5.0483E-008	2.24372E-008	7.29284E-008	3.03315E-008	1.79912E-009	2.235E-007	
132	26.11.2025	11:37:05:87 odp.	214.87	1.71208E-007	5.0531E-008	2.24518E-008	7.27449E-008	3.02852E-008	1.79436E-009	2.233E-007	
133	26.11.2025	11:37:07:51 odp.	216.51	1.71218E-007	5.05054E-008	2.24638E-008	7.26217E-008	3.02556E-008	1.79336E-009	2.219E-007	
